Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
273,Philly Zoo,464.312500,split,469.312500,,88.5,88.5,023,NN,FM,5.00,,Operations,,,,
274,Philly Zoo,466.975000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Operations,,,,
275,PhlZooPaging,462.925000,,0.600000,,88.5,88.5,023,NN,NFM,5.00,,Paging,,,,
276,PhlZooAramrk,451.387500,split,456.387500,DTCS,88.5,88.5,371,NN,NFM,5.00,,Aramark Food Services,,,,
277,FranklinInst,154.570000,,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,,The Franklin Institute,,,,
278,FranklinInst,154.600000,,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,,The Franklin Institute,,,,
281,HUP Security,461.925000,split,466.925000,TSQL,250.3,250.3,023,NN,FM,5.00,,UPHS Hospital of the University of Pennsylvania (HUP) - Security,,,,
282,CHOP Sec,462.150000,split,467.150000,TSQL,192.8,192.8,023,NN,FM,5.00,,Childrens Hospital of Philadelphia (CHOP) - Security,,,,
283,HUH Security,452.625000,split,457.625000,DTCS,88.5,88.5,734,NN,FM,5.00,,Hahnemann University Hospital - Security,,,,
284,Method Hosp,464.400000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Methodist Hospital,,,,
285,CHOP Helipad,462.150000,split,467.150000,TSQL,192.8,192.8,023,NN,FM,5.00,,Childrens Hospital of Philadelphia (CHOP) - Helipad,,,,
288,MedallionCab,452.400000,split,457.400000,TSQL,71.9,71.9,023,NN,FM,5.00,,Medallion Radio Cab - Taxi Dispatch (primarily for Germantown Cab),,,,
289,All CityTaxi,151.520000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,All City Taxi - Dispatch,,,,
290,Walsh Cab,152.330000,split,157.590000,TSQL,71.9,71.9,023,NN,FM,5.00,,Walsh Cab Company (poss. dispatches for Yellow Cab?),,,,
291,Durham Bus,859.687500,split,814.687500,DTCS,88.5,88.5,532,NN,FM,5.00,,Durham School Services - Operations,,,,
292,CCOP-CH 1,451.400000,,0.600000,TSQL,210.7,210.7,023,NN,NFM,5.00,,Channel 1,,,,
293,CCOP-CH 2,461.662500,,0.600000,TSQL,218.1,218.1,023,NN,NFM,5.00,,Channel 2,,,,
294,CCOP-CH 3,464.812500,,0.600000,TSQL,203.5,203.5,023,NN,NFM,5.00,,Channel 3,,,,
295,CCOP-CH 4,451.975000,,0.600000,TSQL,225.7,225.7,023,NN,NFM,5.00,,Channel 4,,,,
296,CCOP-CH 5,452.225000,,0.600000,TSQL,233.6,233.6,023,NN,NFM,5.00,,Channel 5,,,,
297,CCOP-CH 6,464.500000,,0.600000,TSQL,250.3,250.3,023,NN,NFM,5.00,,Channel 6,,,,
298,CCOP-CH 7,464.550000,,0.600000,TSQL,254.1,254.1,023,NN,NFM,5.00,,Channel 7,,,,
299,CCOP-CH 8,464.812500,,0.600000,TSQL,229.1,229.1,023,NN,NFM,5.00,,Channel 8,,,,
300,CCOP-CH 9,462.712500,,0.600000,TSQL,94.8,94.8,023,NN,NFM,5.00,,Channel 9 (FRS Channel 7),,,,
